height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
11.8500 176.6618 0.0000 -55.8509 0.0000 0.0297 0.1077 0.0000 0.0000 0.0000 0.0000 1.3284 0.0000 217.4491 217.4491
11.9500 173.8886 0.0000 -56.3856 0.0000 0.0286 0.1024 0.0000 0.0000 0.0000 0.0000 1.3296 0.0000 216.9144 216.9144
12.0500 171.3060 0.0000 -56.9331 0.0000 0.0270 0.0970 0.0000 0.0000 0.0000 0.0000 1.3308 0.0000 216.3669 216.3669
12.1500 168.7234 0.0000 -57.4807 0.0000 0.0255 0.0919 0.0000 0.0000 0.0000 0.0000 1.3320 0.0000 215.8193 215.8193
12.2500 166.1407 0.0000 -58.0282 0.0000 0.0241 0.0871 0.0000 0.0000 0.0000 0.0000 1.3332 0.0000 215.2718 215.2718
12.3500 163.5581 0.0000 -58.5757 0.0000 0.0227 0.0825 0.0000 0.0000 0.0000 0.0000 1.3344 0.0000 214.7243 214.7243
12.4500 160.9754 0.0000 -59.1232 0.0000 0.0214 0.0781 0.0000 0.0000 0.0000 0.0000 1.3356 0.0000 214.1768 214.1768
12.5500 158.3928 0.0000 -59.6707 0.0000 0.0202 0.0740 0.0000 0.0000 0.0000 0.0000 1.3368 0.0000 213.6293 213.6293
12.6500 155.8101 0.0000 -60.2182 0.0000 0.0191 0.0700 0.0000 0.0000 0.0000 0.0000 1.3380 0.0000 213.0817 213.0817
12.7500 153.2275 0.0000 -60.7658 0.0000 0.0180 0.0663 0.0000 0.0000 0.0000 0.0000 1.3392 0.0000 212.5342 212.5342
12.8500 150.6448 0.0000 -61.3133 0.0000 0.0170 0.0627 0.0000 0.0000 0.0000 0.0000 1.3404 0.0000 211.9867 211.9867
12.9500 148.3162 0.0000 -61.8676 0.0000 0.0163 0.0592 0.0000 0.0000 0.0000 0.0000 1.3416 0.0000 211.4324 211.4324
13.0500 146.0720 0.0000 -62.4241 0.0000 0.0157 0.0558 0.0000 0.0000 0.0000 0.0000 1.3428 0.0000 210.8758 210.8758
13.1500 143.8278 0.0000 -62.9807 0.0000 0.0151 0.0526 0.0000 0.0000 0.0000 0.0000 1.3440 0.0000 210.3193 210.3193
13.2500 141.5837 0.0000 -63.5372 0.0000 0.0145 0.0496 0.0000 0.0000 0.0000 0.0000 1.3452 0.0000 209.7627 209.7627
13.3500 139.3395 0.0000 -64.0938 0.0000 0.0140 0.0467 0.0000 0.0000 0.0000 0.0000 1.3464 0.0000 209.2062 209.2062
13.4500 137.0953 0.0000 -64.6504 0.0000 0.0135 0.0440 0.0000 0.0000 0.0000 0.0000 1.3476 0.0000 208.6496 208.6496
13.5500 134.8512 0.0000 -65.2069 0.0000 0.0129 0.0414 0.0000 0.0000 0.0000 0.0000 1.3488 0.0000 208.0931 208.0931
13.6500 132.6070 0.0000 -65.7635 0.0000 0.0124 0.0390 0.0000 0.0000 0.0000 0.0000 1.3500 0.0000 207.5365 207.5365
13.7500 130.3628 0.0000 -66.3200 0.0000 0.0119 0.0367 0.0000 0.0000 0.0000 0.0000 1.3512 0.0000 206.9800 206.9800
13.8500 128.1187 0.0000 -66.8766 0.0000 0.0114 0.0345 0.0000 0.0000 0.0000 0.0000 1.3524 0.0000 206.4234 206.4234
13.9500 125.8745 0.0000 -67.4331 0.0000 0.0110 0.0325 0.0000 0.0000 0.0000 0.0000 1.3536 0.0000 205.8669 205.8669
14.0500 123.8528 0.0000 -67.8106 0.0000 0.0107 0.0313 0.0000 0.0000 0.0000 0.0000 1.3548 0.0000 205.4894 205.4894
14.1500 121.9731 0.0000 -68.0738 0.0000 0.0107 0.0306 0.0000 0.0000 0.0000 0.0000 1.3560 0.0000 205.2262 205.2262
14.2500 120.0934 0.0000 -68.3369 0.0000 0.0106 0.0299 0.0000 0.0000 0.0000 0.0000 1.3572 0.0000 204.9631 204.9631
14.3500 118.2137 0.0000 -68.6001 0.0000 0.0105 0.0293 0.0000 0.0000 0.0000 0.0000 1.3584 0.0000 204.6999 204.6999
14.4500 116.3340 0.0000 -68.8632 0.0000 0.0104 0.0286 0.0000 0.0000 0.0000 0.0000 1.3596 0.0000 204.4368 204.4368
14.5500 114.4543 0.0000 -69.1264 0.0000 0.0104 0.0280 0.0000 0.0000 0.0000 0.0000 1.3608 0.0000 204.1736 204.1736
14.6500 112.5746 0.0000 -69.3896 0.0000 0.0103 0.0274 0.0000 0.0000 0.0000 0.0000 1.3620 0.0000 203.9104 203.9104
14.7500 110.6949 0.0000 -69.6527 0.0000 0.0102 0.0269 0.0000 0.0000 0.0000 0.0000 1.3632 0.0000 203.6473 203.6473
14.8500 108.8152 0.0000 -69.9159 0.0000 0.0101 0.0263 0.0000 0.0000 0.0000 0.0000 1.3644 0.0000 203.3841 203.3841
14.9500 106.9355 0.0000 -70.1790 0.0000 0.0101 0.0257 0.0000 0.0000 0.0000 0.0000 1.3656 0.0000 203.1210 203.1210
15.0500 105.0558 0.0000 -70.4422 0.0000 0.0100 0.0252 0.0000 0.0000 0.0000 0.0000 1.3668 0.0000 202.8578 202.8578
15.1500 103.1761 0.0000 -70.7053 0.0000 0.0099 0.0247 0.0000 0.0000 0.0000 0.0000 1.3680 0.0000 202.5947 202.5947
15.2500 101.2964 0.0000 -70.9685 0.0000 0.0098 0.0242 0.0000 0.0000 0.0000 0.0000 1.3692 0.0000 202.3315 202.3315
15.3500 99.5594 0.0000 -71.1177 0.0000 0.0098 0.0241 0.0000 0.0000 0.0000 0.0000 1.3704 0.0000 202.1823 202.1823
15.4500 98.1396 0.0000 -71.0136 0.0000 0.0097 0.0248 0.0000 0.0000 0.0000 0.0000 1.3716 0.0000 202.2864 202.2864
15.5500 96.7198 0.0000 -70.9095 0.0000 0.0097 0.0256 0.0000 0.0000 0.0000 0.0000 1.3728 0.0000 202.3905 202.3905
15.6500 95.3001 0.0000 -70.8053 0.0000 0.0096 0.0263 0.0000 0.0000 0.0000 0.0000 1.3740 0.0000 202.4947 202.4947
15.7500 93.8803 0.0000 -70.7012 0.0000 0.0096 0.0272 0.0000 0.0000 0.0000 0.0000 1.3752 0.0000 202.5988 202.5988
15.8500 92.4605 0.0000 -70.5971 0.0000 0.0095 0.0280 0.0000 0.0000 0.0000 0.0000 1.3764 0.0000 202.7029 202.7029
15.9500 91.0407 0.0000 -70.4930 0.0000 0.0094 0.0289 0.0000 0.0000 0.0000 0.0000 1.3776 0.0000 202.8070 202.8070
16.0500 89.6209 0.0000 -70.3889 0.0000 0.0093 0.0298 0.0000 0.0000 0.0000 0.0000 1.3788 0.0000 202.9111 202.9111
16.1500 88.2012 0.0000 -70.2847 0.0000 0.0092 0.0307 0.0000 0.0000 0.0000 0.0000 1.3800 0.0000 203.0152 203.0152
16.2500 86.7814 0.0000 -70.1806 0.0000 0.0091 0.0317 0.0000 0.0000 0.0000 0.0000 1.3812 0.0000 203.1194 203.1194
16.3500 85.3616 0.0000 -70.0765 0.0000 0.0089 0.0327 0.0000 0.0000 0.0000 0.0000 1.3824 0.0000 203.2235 203.2235
16.4500 83.9418 0.0000 -69.9724 0.0000 0.0088 0.0338 0.0000 0.0000 0.0000 0.0000 1.3836 0.0000 203.3276 203.3276
16.5500 82.5220 0.0000 -69.8683 0.0000 0.0086 0.0349 0.0000 0.0000 0.0000 0.0000 1.3848 0.0000 203.4317 203.4317
16.6500 81.1023 0.0000 -69.7642 0.0000 0.0084 0.0361 0.0000 0.0000 0.0000 0.0000 1.3860 0.0000 203.5358 203.5358
16.7500 79.6825 0.0000 -69.6600 0.0000 0.0082 0.0373 0.0000 0.0000 0.0000 0.0000 1.3872 0.0000 203.6399 203.6399
16.8500 78.2627 0.0000 -69.5559 0.0000 0.0080 0.0385 0.0000 0.0000 0.0000 0.0000 1.3884 0.0000 203.7441 203.7441
16.9500 76.8429 0.0000 -69.4518 0.0000 0.0077 0.0398 0.0000 0.0000 0.0000 0.0000 1.3896 0.0000 203.8482 203.8482
17.0500 75.4231 0.0000 -69.3477 0.0000 0.0074 0.0412 0.0000 0.0000 0.0000 0.0000 1.3908 0.0000 203.9523 203.9523
17.1500 74.0033 0.0000 -69.2436 0.0000 0.0071 0.0426 0.0000 0.0000 0.0000 0.0000 1.3920 0.0000 204.0564 204.0564
17.2500 72.5836 0.0000 -69.1395 0.0000 0.0068 0.0441 0.0000 0.0000 0.0000 0.0000 1.3932 0.0000 204.1605 204.1605
17.3500 71.1638 0.0000 -69.0353 0.0000 0.0064 0.0457 0.0000 0.0000 0.0000 0.0000 1.3944 0.0000 204.2646 204.2646
